                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     88,                0.78102,                0.48912,                  1.081,                0.89989,                0.91637,                0.93288,                0.63793,                0.99575,                0.49248,                 1.1369,             0.00016509,             0.00016509,             0.00016509
                     89,                0.77345,                0.48349,                 1.0862,                0.91444,                0.92618,                0.94269,                0.63566,                0.99935,                0.49645,                 1.1301,              0.0001541,              0.0001541,              0.0001541
                     90,                0.76182,                0.47512,                 1.0837,                0.90677,                0.92718,                0.94036,                0.63973,                0.99171,                0.49524,                 1.1274,              0.0001431,              0.0001431,              0.0001431
                     91,                0.76247,                0.43472,                 1.0786,                0.90626,                0.91334,                0.93374,                0.63739,                0.99492,                0.49493,                 1.1293,              0.0001321,              0.0001321,              0.0001321
                     92,                0.74414,                0.42392,                 1.0732,                0.89719,                0.93207,                0.93542,                0.64089,                0.98947,                0.48963,                 1.1269,              0.0001211,              0.0001211,              0.0001211
                     93,                 0.7455,                0.41319,                 1.0716,                0.90637,                0.93229,                0.94642,                 0.6419,                 0.9963,                0.48036,                 1.1317,              0.0001101,              0.0001101,              0.0001101
                     94,                0.74154,                0.40428,                 1.0652,                0.89563,                0.93571,                 0.9435,                 0.6439,                0.98511,                0.48511,                 1.1282,             9.9101e-05,             9.9101e-05,             9.9101e-05
                     95,                0.72843,                0.40146,                 1.0541,                0.89563,                 0.9321,                0.93306,                0.64179,                0.98925,                0.48593,                 1.1324,             8.8102e-05,             8.8102e-05,             8.8102e-05
                     96,                0.72618,                0.39549,                 1.0567,                0.90104,                 0.9372,                0.93406,                0.64361,                0.98733,                 0.4832,                 1.1328,             7.7103e-05,             7.7103e-05,             7.7103e-05
                     97,                 0.7316,                0.40485,                 1.0675,                0.89842,                0.93612,                0.93589,                0.64125,                0.99051,                0.48737,                 1.1369,             6.6105e-05,             6.6105e-05,             6.6105e-05
                     98,                0.71281,                0.39837,                 1.0515,                0.90629,                0.93407,                0.93602,                0.64169,                0.98785,                0.48288,                 1.1356,             5.5106e-05,             5.5106e-05,             5.5106e-05
                     99,                0.71418,                0.39001,                 1.0569,                0.90283,                0.93072,                0.93687,                0.64309,                0.98416,                0.48169,                 1.1355,             4.4107e-05,             4.4107e-05,             4.4107e-05
                    100,                0.71003,                0.38926,                 1.0496,                0.90212,                 0.9287,                0.92829,                0.64255,                0.98651,                 0.4844,                 1.1381,             3.3108e-05,             3.3108e-05,             3.3108e-05
